,London Bloomsbury,,London Harlington,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
Latitude,51.52229,,51.48879,,51.52253,,51.52105,,51.425286,,51.49467,
Longitude,-0.125889,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,-0.131931,
Site Type,Urban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Hillingdon,,Westminster,,Kensington,,Richmond,,Westminster,
Date,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
30-04-21,11,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
01-05-21,11,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
02-05-21,14,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
03-05-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
04-05-21,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
05-05-21,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
06-05-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
07-05-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
08-05-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
09-05-21,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
10-05-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
11-05-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
12-05-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
13-05-21,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
14-05-21,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
15-05-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
16-05-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
17-05-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
18-05-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
19-05-21,No data,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),2,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
20-05-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
21-05-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
22-05-21,No data,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
23-05-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
24-05-21,No data,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
25-05-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
26-05-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
27-05-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
28-05-21,No data,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
29-05-21,No data,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
30-05-21,No data,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
31-05-21,No data,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
01-06-21,No data,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
02-06-21,No data,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
03-06-21,No data,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
04-06-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
05-06-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
06-06-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
07-06-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
08-06-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
09-06-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
10-06-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
11-06-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
12-06-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
13-06-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
14-06-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
15-06-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
16-06-21,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
17-06-21,No data,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
18-06-21,No data,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),2,V ugm-3 (Ref.eq),2,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
19-06-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
20-06-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
21-06-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
22-06-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
23-06-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
24-06-21,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
25-06-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
26-06-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
27-06-21,No data,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),17,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
28-06-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
29-06-21,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
30-06-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
01-07-21,No data,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
02-07-21,No data,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),20,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
03-07-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
04-07-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
05-07-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
06-07-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
07-07-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
08-07-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
09-07-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
10-07-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
11-07-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
12-07-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
13-07-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
14-07-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
15-07-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
16-07-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
17-07-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
18-07-21,No data,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
19-07-21,No data,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
20-07-21,No data,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
21-07-21,No data,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),18,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
22-07-21,No data,V ugm-3 (BAM),19,V ugm-3 (Ref.eq),25,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),17,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
23-07-21,No data,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
24-07-21,No data,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),20,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),18,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
25-07-21,No data,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
26-07-21,No data,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
27-07-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
28-07-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
29-07-21,No data,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
30-07-21,No data,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
31-07-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
01-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
02-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
03-08-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
04-08-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
05-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
06-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
07-08-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
08-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
09-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
10-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
11-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
12-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
13-08-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
14-08-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
15-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
16-08-21,No data,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
17-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
18-08-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
19-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
20-08-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
21-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
22-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
23-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
24-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
25-08-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
26-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
27-08-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
28-08-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
29-08-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
30-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
31-08-21,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
01-09-21,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
02-09-21,No data,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
